MAE_mean,MAE_median,MAE_sd,Pearson_mean,Spearman_mean,Spearman_median,TF_MAE_mean,TF_MAE_median,TF_delta_Spearman_mean,delta_cosine_mean,delta_cosine_median,experiment,model,n_targets,no_change_MAE_mean,non_TF_MAE_mean,predicted_magnitude_mean,predicted_magnitude_monotonicity,top50_overlap_mean,true_magnitude_mean,true_magnitude_monotonicity
0.0311838965862989,0.0297236610203981,0.0043300336767094,0.3987930401814116,0.1713887749771152,0.1524524178832196,0.03822957649827,0.0375345908105373,0.2122815134546551,0.3364658661186695,0.292612686753273,biology_informed,Baseline,30,0.0308865653971831,0.0308247625206907,0.0165360768480847,,0.394,0.0164197783296306,
0.0315119822820027,0.0299100624397397,0.0045441629368876,0.4039326679129361,0.1725410683586448,0.1333526564001755,0.0391411313166221,0.0383058339357376,0.1930538775341048,0.3362577839444081,0.2914008796215057,biology_informed,Monotonic-TF-activity+weighted-loss,30,0.0308865653971831,0.0311231080442667,0.017649648959438,,0.4006666666666666,0.0164197783296306,
0.0317883840451637,0.0303055895492434,0.0045038407523081,0.4077712603038652,0.1684583010496618,0.1393276805682705,0.0396173492074012,0.0386493410915136,0.1737644582905732,0.3348693253472447,0.2826065719127655,biology_informed,Monotonic-TF-activity,30,0.0308865653971831,0.0313893253604571,0.0185002673106888,,0.4006666666666666,0.0164197783296306,
0.0330550034840901,0.032250115647912,0.0037044073538681,0.4099659455870464,0.1808811893278787,0.1483013612131241,0.0403343540926774,0.0390639510005712,0.1979400954795532,0.3639549173414707,0.309203639626503,biology_informed,Raw-TF-direct,30,0.0308865653971831,0.0326839593549569,0.0210257144334415,,0.38,0.0164197783296306,
0.0357619982212781,0.0340220909565687,,0.4778436913215481,0.2312618703330137,,,,,0.371571514258782,,dose_aware,Hill-gradient,30,0.0372264969473083,,0.0122515901457518,0.711111111111111,0.438,0.0178046800817052,0.7777777777777778
0.0359934780746698,0.0339157674461603,,0.4785752506023364,0.2371533961417159,,,,,0.3678769188622633,,dose_aware,Shuffled-Hill-gradient,30,0.0372264969473083,,0.0125574835576117,0.4,0.426,0.0178046800817052,0.7777777777777778
0.0374567136168479,0.0366114005446434,,0.4701799104382618,0.226580712263913,,,,,0.3675900047024091,,dose_aware,Linear-gradient,30,0.0372264969473083,,0.0199003293799857,0.7444444444444444,0.4233333333333333,0.0178046800817052,0.7777777777777778
0.0388571831087271,0.0371207185089588,,0.4389231993265236,0.2042494667278706,,,,,0.365227742989858,,dose_aware,Strength-input,30,0.0372264969473083,,0.0206130358080069,0.5,0.4046666666666667,0.0178046800817052,0.7777777777777778
0.0399441696703434,0.0383899305015802,,0.4612129856628366,0.2193950567936542,,,,,0.3672875791788101,,dose_aware,No-gradient,30,0.0372264969473083,,0.0235427480501433,0.5,0.4146666666666666,0.0178046800817052,0.7777777777777778
